Row Labels;Sum of CREDITO;;;
101089 2 216;400000;;400000;0
101089 2 24;700000;;700000;0
101089 2 254;300000;;300000;0
101089 2 30000984;1800000;;1800000;0
101089 2 427;700000;;700000;0
101089 2 461;1800000;;1800000;0
101089 2 466;1600000;;1600000;0
101089 2 471;500000;;500000;0
101089 2 532;635000;;635000;0
101089 2 679;400000;;400000;0
101089 2 802;100000;;100000;0
101089 2 906;100000;;100000;0
101089 2 972;2300000;;2300000;0
101089 6 1;282100;;282100;0
101089 6 2;59300;;59300;0
101089 6 245;1014000;;1014000;0
101089 6 30000985;982000;;982000;0
101089 6 37;658000;;658000;0
101089 6 374;983500;;983500;0
101089 6 531;562000;;562000;0
101089 6 65;405000;;405000;0
10123570 2 10753;1700000;;1700000;0
10123570 2 14514;2000000;;2000000;0
10123570 2 17000;2000000;;2000000;0
10123570 2 19173;3000000;;3000000;0
10123570 2 21440;3400000;;3400000;0
10123570 2 27342;3300000;;3300000;0
10123570 2 2825;1000000;;1000000;0
10123570 2 31080;2050000;;2050000;0
10123570 2 3440;1000000;;1000000;0
10123570 2 36742;4200000;;4200000;0
10123570 2 39917;5000000;;5000000;0
10123570 2 4706;650000;;650000;0
10123570 7 141;500000;;500000;0
1013556470 2 20001844;500000;;500000;0
1013556470 2 20002078;650000;;650000;0
1013556470 2 26840;980000;;980000;0
1013556470 2 33124;980000;;980000;0
1013556470 5 36729;1594100;;1594100;0
1013556470 6 20001846;324100;;324100;0
1013556470 6 20002079;422900;;422900;0
1013556470 6 26841;614100;;614100;0
1013556470 6 33125;614100;;614100;0
1017180106 2 38346;2000000;;2000000;0
10190590 2 119;3000000;;3000000;0
10190590 2 959;4000000;;4000000;0
10191706 13 28564;1421570;;1421570;0
10191706 2 20000163;300000;;300000;0
10191706 2 20000556;440000;;440000;0
10191706 2 20000628;440000;;440000;0
10191706 2 20001081;292000;;292000;0
10191706 2 20001398;700000;;700000;0
10191706 2 20001550;1000000;;1000000;0
10191706 2 20001699;1000000;;1000000;0
10191706 2 20001867;1000000;;1000000;0
10191706 2 20002099;4800000;;4800000;0
10191706 2 27823;4800000;;4800000;0
10191706 2 31611;4320000;;4320000;0
10191706 5 311;600000;;600000;0
10191706 5 35026;402090;;402090;0
10191706 6 20000123;206100;;206100;0
10191706 6 20000629;206100;;206100;0
10191706 6 20001139;593200;;593200;0
10191706 6 20001378;944000;;944000;0
10191706 6 20001552;944000;;944000;0
10191706 6 20001718;1400000;;1400000;0
10191706 6 20001880;1241800;;1241800;0
10191706 6 24989;1340300;;1340300;0
10191706 6 27454;1474330;;1474330;0
10191706 6 31127;1206270;;1206270;0
10195996 2 10976;100000;;100000;0
10195996 2 13572;600000;;600000;0
10195996 2 14941;1000000;;1000000;0
10195996 2 17437;1000000;;1000000;0
10195996 2 20139;1000000;;1000000;0
10195996 2 24452;1300000;;1300000;0
10195996 2 27186;2200000;;2200000;0
10195996 2 30848;2200000;;2200000;0
10195996 2 34537;1073400;;1073400;0
10195996 2 3627;125000;;125000;0
10195996 2 8001;200000;;200000;0
10195996 2 8776;50000;;50000;0
10195996 6 102734;72001;;72001;0
10195996 6 102953;34900;;34900;0
10195996 6 103131;34900;;34900;0
10195996 6 14930;311404;;311404;0
10195996 6 17348;525200;;525200;0
10195996 6 18729;499200;;499200;0
10195996 6 20138;525200;;525200;0
10195996 6 27190;274800;;274800;0
10195996 6 2812;34900;;34900;0
10195996 6 30849;274800;;274800;0
10195996 6 34536;183200;;183200;0
10195996 6 9640;202560;;202560;0
10195996 7 5197;300000;;300000;0
10200799 2 20000462;2000000;;2000000;0
10200799 2 20000910;500000;;500000;0
10200799 2 20001052;2500000;;2500000;0
10200799 2 20001258;2500000;;2500000;0
10200799 2 20001446;2500000;;2500000;0
10201438 2 681;700000;;700000;0
10201438 6 10022;234000;;234000;0
1027880130 2 26855;600000;;600000;0
1027880130 2 30881;1200000;;1200000;0
1027880130 6 26875;377400;;377400;0
1027880130 6 30882;377400;;377400;0
1027880309 13 37448;390000;;390000;0
1027880309 13 37542;21239988;;21239988;0
1027880309 13 38047;6500000;;6500000;0
1027880309 13 38071;7800000;;7800000;0
1027880309 2 35857;24000000;;24000000;0
1027880309 2 40476;25200000;;25200000;0
1027880616 2 40593;0;;0;0
1027880740 2 11168;370000;;370000;0
1027880740 2 22011;2300000;;2300000;0
1027880740 2 24813;2300000;;2300000;0
1027880740 2 28281;2300000;;2300000;0
1027880740 6 11169;256800;;256800;0
1027880740 6 14016;816000;;816000;0
1027880740 6 15963;964500;;964500;0
1027880740 6 18335;1143800;;1143800;0
1027880740 6 22252;631400;;631400;0
1027880870 13 35198;460058;;460058;0
1027881059 2 20877;1000000;;1000000;0
1027881059 2 23427;2000000;;2000000;0
1027881059 2 26164;2300000;;2300000;0
1027881059 2 29957;2800000;;2800000;0
1027881059 2 33438;3100000;;3100000;0
1027881059 2 37506;6000000;;6000000;0
1027881059 6 24346;488500;;488500;0
1027881059 6 28018;1688400;;1688400;0
1027881059 6 31660;1688400;;1688400;0
1027881059 6 34191;2173000;;2173000;0
1027881254 2 31671;2700000;;2700000;0
1027881254 6 32353;1752000;;1752000;0
1027881416 2 30176;770000;;770000;0
1027881416 2 33963;1500000;;1500000;0
1027881416 2 35971;800000;;800000;0
1027881416 2 36892;2800000;;2800000;0
1027881416 2 38095;1800000;;1800000;0
1027881416 2 38778;1213242;;1213242;0
1027881416 2 40092;1413971;;1413971;0
1027881416 6 30182;546400;;546400;0
1027881916 13 32339;650000;;650000;0
1027881916 13 34993;1366200;;1366200;0
1027881916 13 35896;1194900;;1194900;0
1027881916 13 40069;8371000;;8371000;0
1027881916 2 18496;1500000;;1500000;0
1027881916 2 21424;2600000;;2600000;0
1027881916 2 27985;2000000;;2000000;0
1027881916 2 31524;2000000;;2000000;0
1027881916 2 37897;5000000;;5000000;0
1027881916 2 39143;10000000;;10000000;0
1027881916 5 35279;2000000;;2000000;0
1027881916 6 18517;2614100;;2614100;0
1027881916 6 21555;2992900;;2992900;0
1027882076 13 32688;1035286;;1035286;0
1027882076 13 35166;1819254;;1819254;0
1027882616 13 40287;1386000;;1386000;0
1027883439 13 35369;1314000;;1314000;0
1027883439 2 37564;500000;;500000;0
1027883439 2 39032;0;;0;0
1027883439 6 33053;590848;;590848;0
1027883494 2 11038;400000;;400000;0
1027883494 2 13594;400000;;400000;0
1027883494 6 11042;273900;;273900;0
1027883494 6 13595;273900;;273900;0
1027884254 2 40831;7000000;;7000000;0
1027885197 2 40639;7000000;;7000000;0
1027885253 13 35706;14049000;;14049000;0
1027885253 2 14944;8400000;;8400000;0
1027885253 2 17564;8400000;;8400000;0
1027885253 2 20325;8400000;;8400000;0
1027885253 2 23121;8400000;;8400000;0
1027885253 2 2440;3000000;;3000000;0
1027885253 2 3144;3000000;;3000000;0
1027885253 2 33896;8600000;;8600000;0
1027885253 2 36899;18000000;;18000000;0
1027885253 2 38910;30000000;;30000000;0
1027885253 2 5083;2400000;;2400000;0
1027885253 7 113;2000000;;2000000;0
1027885735 13 36281;527300;;527300;0
1027885735 13 38230;841612;;841612;0
1027885735 13 38717;1822500;;1822500;0
1027885735 13 39436;2104700;;2104700;0
1027885735 13 40596;1848500;;1848500;0
1027885735 2 37668;1500000;;1500000;0
1027885735 2 39791;0;;0;0
1027886275 6 39332;1570800;;1570800;0
1027887020 6 32903;7601246;;7601246;0
1027888399 13 32333;390000;;390000;0
1027888399 2 27946;2000000;;2000000;0
1027888399 2 31526;2000000;;2000000;0
1027888399 5 35280;2000000;;2000000;0
1033648302 2 40131;2800000;;2800000;0
1033649665 13 24561;1677500;;1677500;0
1033649665 2 30003145;3000000;;3000000;0
1033649665 6 30003043;1961700;;1961700;0
1033649665 6 30003451;1961700;;1961700;0
1033651746 13 30631;206000;;206000;0
1033651746 13 32750;239825;;239825;0
1033651746 2 30629;600000;;600000;0
1033651746 2 33618;650000;;650000;0
1033651746 2 37092;600000;;600000;0
1033651746 6 30630;344800;;344800;0
1033651746 6 34468;453829;;453829;0
1033651746 6 38649;480196;;480196;0
1033652125 2 32379;750000;;750000;0
1033652125 6 32378;508966;;508966;0
1033653665 2 31166;3000000;;3000000;0
1033653665 2 35176;4200000;;4200000;0
1033653665 2 37771;5800000;;5800000;0
1033653665 6 31168;2661800;;2661800;0
1036617255 2 20000364;5800000;;5800000;0
1036617255 6 20000007;1222500;;1222500;0
1036663125 2 40317;500000;;500000;0
1037322193 2 16184;830000;;830000;0
1037322193 2 19650;830000;;830000;0
1037322193 2 22745;830000;;830000;0
1037322193 2 23804;222000;;222000;0
1037322193 6 16186;514400;;514400;0
1037322193 6 19652;514400;;514400;0
1037322193 6 22746;514400;;514400;0
1037322193 6 23805;1028800;;1028800;0
1037322444 13 29236;775986;;775986;0
1037322444 13 31284;683000;;683000;0
1037602711 13 29390;3676400;;3676400;0
1037602711 13 30517;2663700;;2663700;0
1037602711 2 14942;10100000;;10100000;0
1037602711 2 17565;10100000;;10100000;0
1037602711 2 19748;8000000;;8000000;0
1037602711 2 22547;10900000;;10900000;0
1037602711 2 2438;3000000;;3000000;0
1037602711 2 3143;3000000;;3000000;0
1037602711 2 33829;16000000;;16000000;0
1037602711 2 36901;22000000;;22000000;0
1037602711 2 38911;40000000;;40000000;0
1037602711 2 5084;2700000;;2700000;0
1037602711 6 19849;5332500;;5332500;0
1037602711 6 22530;5332500;;5332500;0
1037602711 7 114;2000000;;2000000;0
1037650019 2 33951;2490000;;2490000;0
1037652325 2 17844;2000000;;2000000;0
1037652325 2 20780;4800000;;4800000;0
1037652325 2 23653;5000000;;5000000;0
1037652325 2 30709;3000000;;3000000;0
1037652325 2 34503;1000000;;1000000;0
1037652325 6 102897;1271400;;1271400;0
1037652325 6 12091;1014400;;1014400;0
1037652325 6 14813;1014400;;1014400;0
1037652325 6 6507;1271400;;1271400;0
1037652325 6 9301;1014400;;1014400;0
1041149040 2 37254;3000000;;3000000;0
1041149040 2 38431;10000000;;10000000;0
1041149040 6 36329;2542657;;2542657;0
10478493 2 10437;1300000;;1300000;0
10478493 2 9322;1300000;;1300000;0
11373107 2 37932;1000000;;1000000;0
11700016 2 6130;900000;;900000;0
11700041 2 30000307;1200000;;1200000;0
11700041 2 30001267;876000;;876000;0
11700041 2 6156;1200000;;1200000;0
11700041 6 30000306;525200;;525200;0
11700041 6 6190;525200;;525200;0
11785441 2 232;2300000;;2300000;0
11785441 2 30000645;2319415;;2319415;0
1230228 2 1958;5000000;;5000000;0
1230228 2 2617;6000000;;6000000;0
1230228 2 303;4000000;;4000000;0
1230228 2 786;4000000;;4000000;0
1230228 6 101267;1836000;;1836000;0
1230228 6 101984;3080000;;3080000;0
1255540 2 1889;600000;;600000;0
1255540 2 2192;700000;;700000;0
1255540 2 3332;700000;;700000;0
1255540 2 653;509000;;509000;0
1255540 2 6639;670000;;670000;0
1255540 2 671;509000;;509000;0
1256089 2 10078;1060000;;1060000;0
1256089 2 1016;600000;;600000;0
1256089 2 14192;1500000;;1500000;0
1256089 2 16926;1500000;;1500000;0
1256089 2 17895;1500000;;1500000;0
1256089 2 2031;1000000;;1000000;0
1256089 2 20685;1500000;;1500000;0
1256089 2 284;500000;;500000;0
1256089 2 2907;1000000;;1000000;0
1256089 2 34207;4000000;;4000000;0
1256089 2 38185;2000000;;2000000;0
1256089 2 39858;3000000;;3000000;0
1256089 2 5278;1060000;;1060000;0
1256089 2 7168;1060000;;1060000;0
1256089 6 100576;594050;;594050;0
1256089 6 10077;357000;;357000;0
1256089 6 101470;460200;;460200;0
1256089 6 12431;1641600;;1641600;0
1256089 6 15526;2121900;;2121900;0
1256089 6 17894;2121900;;2121900;0
1256089 6 20686;2121900;;2121900;0
1256089 6 23252;1179400;;1179400;0
1256089 6 2400;424000;;424000;0
1256089 6 27109;1179400;;1179400;0
1256089 6 30066;1915000;;1915000;0
1256089 6 3060;490000;;490000;0
1256089 6 431;490000;;490000;0
1256089 6 5279;500000;;500000;0
1256089 6 7167;500000;;500000;0
1256458 13 28616;11225800;;11225800;0
1256458 13 34633;4869000;;4869000;0
1256458 13 35874;7227000;;7227000;0
1256458 13 37653;7525800;;7525800;0
1256458 13 38341;7570000;;7570000;0
1256458 13 39660;7817700;;7817700;0
1256458 2 12010;10000000;;10000000;0
1256458 2 13976;10000000;;10000000;0
1256458 2 15671;12000000;;12000000;0
1256458 2 18133;13000000;;13000000;0
1256458 2 25474;24000000;;24000000;0
1256458 2 2880;6000000;;6000000;0
1256458 2 3441;6500000;;6500000;0
1256458 2 38958;30000000;;30000000;0
1256458 2 6102;5000000;;5000000;0
1256458 2 9195;6000000;;6000000;0
1256458 6 12927;2736000;;2736000;0
1256458 6 15672;5428000;;5428000;0
1256458 6 18138;6721200;;6721200;0
1256458 6 21171;6017100;;6017100;0
1256458 6 6002;1420500;;1420500;0
1256495 2 19821;780000;;780000;0
1256495 2 20205;400000;;400000;0
1256495 2 25585;2400000;;2400000;0
1256495 2 30418;4000000;;4000000;0
1256495 6 19822;276000;;276000;0
1256495 6 20219;471200;;471200;0
1256495 6 24446;791700;;791700;0
1256495 6 30285;1252000;;1252000;0
1258543 2 46;800000;;800000;0
1258543 2 50033;2200000;;2200000;0
1258543 2 50077;1182000;;1182000;0
1258543 2 50128;2200000;;2200000;0
1258543 2 50145;1182000;;1182000;0
1258543 2 50186;2200000;;2200000;0
1258543 2 50224;1182000;;1182000;0
1258543 2 50271;5000000;;5000000;0
1258543 2 50339;8000600;;8000600;0
1258543 2 6037;1500000;;1500000;0
1258543 2 6038;2000000;;2000000;0
1258543 2 8362;1237000;;1237000;0
1258543 2 8395;2000000;;2000000;0
1260689 2 30000792;4400000;;4400000;0
1260689 2 30001372;2500000;;2500000;0
1260689 2 30001945;3000000;;3000000;0
1260689 2 492;1500000;;1500000;0
1260689 2 661;700000;;700000;0
1260689 6 231;924000;;924000;0
1260689 6 30000678;2901600;;2901600;0
1260689 6 30001469;3842000;;3842000;0
1260689 6 30001946;4574800;;4574800;0
1260689 6 326;2250400;;2250400;0
1260689 6 442;222400;;222400;0
1260689 6 443;222400;;222400;0
1260689 6 53;2516800;;2516800;0
1260689 6 533;2125200;;2125200;0
1260785 13 20001963;665000;;665000;0
1260785 2 20000360;800000;;800000;0
1260785 2 20000361;270000;;270000;0
1260785 2 20000534;1290000;;1290000;0
1260785 2 20000535;420000;;420000;0
1260785 2 20001611;1290000;;1290000;0
1260785 2 20001814;1290000;;1290000;0
1260785 2 25900;1290000;;1290000;0
1260785 6 20000446;569500;;569500;0
1260785 6 20000533;910000;;910000;0
1260785 6 20001612;851000;;851000;0
1260785 6 20001815;851000;;851000;0
1260785 6 25966;851000;;851000;0
1263899 1 327;1000000;;1000000;0
1263899 6 0;475300;;475300;0
1263899 6 5;504500;;504500;0
1264202 1 157;1000000;;1000000;0
1264202 1 266;500000;;500000;0
1264202 1 506;900000;;900000;0
1264202 2 169;350000;;350000;0
1264202 2 242;400000;;400000;0
1264202 2 267;200000;;200000;0
1264202 2 30000146;430000;;430000;0
1264202 2 479;450000;;450000;0
1264202 2 670;300000;;300000;0
1264202 2 799;400000;;400000;0
1264202 6 160;160600;;160600;0
1264202 6 197;339000;;339000;0
1264202 6 441;269600;;269600;0
1289645 2 12781;1600000;;1600000;0
1289645 2 15587;1700000;;1700000;0
1289645 2 17732;1660000;;1660000;0
1289645 2 20516;2500000;;2500000;0
1289645 2 2572;1000000;;1000000;0
1289645 2 3291;1000000;;1000000;0
1289645 2 4220;1500000;;1500000;0
1289645 2 7183;1500000;;1500000;0
1289645 2 9723;1600000;;1600000;0
1289645 6 1347;843000;;843000;0
1289645 6 17837;979000;;979000;0
1289645 6 1997;595000;;595000;0
1289645 6 2106;389000;;389000;0
1289645 6 746;529200;;529200;0
1292157 2 10205;549000;;549000;0
1292157 2 12875;549000;;549000;0
1292157 2 2486;300000;;300000;0
1292157 2 3091;550000;;550000;0
1292157 2 3954;400000;;400000;0
1292157 2 7111;600000;;600000;0
1292157 3 13501;200000;;200000;0
1292157 3 538;100000;;100000;0
1292157 3 5564;100000;;100000;0
1292157 3 568;100000;;100000;0
1292157 3 6172;100000;;100000;0
1292157 3 629;130000;;130000;0
1292157 3 7158;100000;;100000;0
1292157 3 8440;100000;;100000;0
1292157 3 9386;150000;;150000;0
1292157 6 10206;351200;;351200;0
1292157 6 12874;351200;;351200;0
1292157 6 1981;215600;;215600;0
1292157 6 2340;215600;;215600;0
1292157 6 2381;324200;;324200;0
1292157 6 4494;310400;;310400;0
1292157 6 7150;351200;;351200;0
1313951 2 531;1000000;;1000000;0
1313951 2 828;1000000;;1000000;0
1313951 2 968;1000000;;1000000;0
1313951 6 530;514500;;514500;0
1313951 6 732;514500;;514500;0
1313951 6 967;449500;;449500;0
13235734 13 28454;7221240;;7221240;0
13235734 13 37764;12760512;;12760512;0
13235734 2 3597;950000;;950000;0
13235734 2 7734;1900000;;1900000;0
13235734 6 102916;605200;;605200;0
13235734 6 12055;1299000;;1299000;0
13235734 6 14613;3288000;;3288000;0
13346099 2 15252;5000000;;5000000;0
13346099 2 19;700000;;700000;0
13346099 3 769;310000;;310000;0
13346099 6 1350;487100;;487100;0
13346099 6 15167;3178400;;3178400;0
13346099 6 18769;1581000;;1581000;0
13346099 6 20601;4543000;;4543000;0
13346099 6 2675;1164000;;1164000;0
13346099 6 7132;1097500;;1097500;0
13346099 7 18153;6100000;;6100000;0
13514110 2 20000912;1800000;;1800000;0
13514110 2 20001169;3300000;;3300000;0
13514110 2 20001585;1600000;;1600000;0
13514110 2 20001787;5000000;;5000000;0
13514110 2 20001896;2000000;;2000000;0
13514110 2 37990;5000000;;5000000;0
1352167 2 1387;400000;;400000;0
1352167 2 2265;400000;;400000;0
1352167 2 3713;200000;;200000;0
1352167 2 6239;300000;;300000;0
1352167 2 673;200000;;200000;0
1352167 6 100431;226000;;226000;0
1352167 6 12776;216500;;216500;0
1352167 6 14225;289800;;289800;0
1352167 6 15277;385800;;385800;0
1352167 6 17526;405000;;405000;0
1352167 6 20237;313000;;313000;0
1352167 6 3038;137200;;137200;0
1352167 6 4283;252000;;252000;0
1373097 2 2456;1300000;;1300000;0
1373097 2 27768;1300000;;1300000;0
1373097 2 2812;1300000;;1300000;0
1373097 2 35770;1000000;;1000000;0
1373097 2 38025;2000000;;2000000;0
1373097 2 40167;0;;0;0
1373097 6 32165;1358000;;1358000;0
1385023 2 1021;2047000;;2047000;0
1385023 2 250;2260000;;2260000;0
1385023 2 545;2260000;;2260000;0
1410383 2 1014;2500000;;2500000;0
1410383 2 1067;1500000;;1500000;0
1410383 2 1096;500000;;500000;0
1410383 2 11160;4147000;;4147000;0
1410383 2 13715;4147000;;4147000;0
1410383 2 1576;2467000;;2467000;0
1410383 2 16425;4000000;;4000000;0
1410383 2 17193;1500000;;1500000;0
1410383 2 19179;4000000;;4000000;0
1410383 2 19947;1500000;;1500000;0
1410383 2 21500;8300000;;8300000;0
1410383 2 23696;8300000;;8300000;0
1410383 2 26875;8300000;;8300000;0
1410383 2 2699;4500000;;4500000;0
1410383 2 307;1500000;;1500000;0
1410383 2 3070;4500000;;4500000;0
1410383 2 31412;7470000;;7470000;0
1410383 2 5709;4500000;;4500000;0
1410383 2 8606;4147000;;4147000;0
1410383 5 35357;218631;;218631;0
1410383 6 10963;1156250;;1156250;0
1410383 6 1150;362850;;362850;0
1410383 6 1497;937200;;937200;0
1410383 6 1708;937200;;937200;0
1410383 6 21610;954128;;954128;0
1410383 6 2248;741000;;741000;0
1410383 6 2286;147600;;147600;0
1410383 6 2572;741000;;741000;0
1410383 6 2573;147600;;147600;0
1410383 6 310;637300;;637300;0
1410383 6 5214;1523800;;1523800;0
1410383 6 754;816050;;816050;0
1410383 6 9205;778900;;778900;0
1410507 2 1145;1370000;;1370000;0
1410507 2 1528;1370000;;1370000;0
1410507 2 1764;1370000;;1370000;0
1410507 2 2010;1170000;;1170000;0
1410507 2 319;1536000;;1536000;0
1410507 2 50;1000000;;1000000;0
1410507 2 807;1370000;;1370000;0
1410913 2 1487;7000000;;7000000;0
1410913 2 1955;7000000;;7000000;0
1410913 2 2226;7000000;;7000000;0
1410913 2 2924;7000000;;7000000;0
1410913 2 413;8000000;;8000000;0
1410913 2 4207;7000000;;7000000;0
1410913 2 883;6000000;;6000000;0
1411147 2 20000366;1200000;;1200000;0
1411147 2 20000367;600000;;600000;0
1411147 6 1394;1500000;;1500000;0
1411147 6 3170;1188000;;1188000;0
1411147 6 567;1188000;;1188000;0
1412208 2 1441;1500000;;1500000;0
1412208 2 2534;1500000;;1500000;0
1412208 2 286;1500000;;1500000;0
1412208 2 3138;1500000;;1500000;0
1412208 2 5746;1500000;;1500000;0
1412208 2 779;1500000;;1500000;0
1412208 6 102758;448000;;448000;0
1412208 6 1103;511635;;511635;0
1412208 6 1223;511635;;511635;0
1412208 6 1845;407;;407;0
1412208 6 1854;630000;;630000;0
1412208 6 317;408000;;408000;0
1412208 6 9994789;570000;;570000;0
1412765 2 1007;800000;;800000;0
1412765 2 1287;500000;;500000;0
1412765 2 635;800000;;800000;0
1412765 3 146;100000;;100000;0
1412765 3 152;200000;;200000;0
1412765 3 308;200000;;200000;0
1412765 6 100616;327000;;327000;0
1412765 6 1289;327000;;327000;0
1412765 6 20024;397600;;397600;0
1421240 2 1201;8899000;;8899000;0
1421240 2 1527;8899000;;8899000;0
1421240 2 1847;8899000;;8899000;0
1421240 2 341;9000000;;9000000;0
1421240 2 788;9000000;;9000000;0
1421240 2 812;8899000;;8899000;0
14256704 2 30002526;800000;;800000;0
14256704 2 30002996;800000;;800000;0
14256704 6 30002527;565900;;565900;0
15241863 2 1089;1000000;;1000000;0
15241863 2 1808;991000;;991000;0
15241863 2 258;1000000;;1000000;0
15241863 2 780;1000000;;1000000;0
15250723 2 3871;300000;;300000;0
15250723 6 11949;729800;;729800;0
15250723 6 12859;729800;;729800;0
15250723 6 15467;729800;;729800;0
15250723 6 19145;729800;;729800;0
15250723 6 2707;244300;;244300;0
15250723 6 6204;244300;;244300;0
15250723 6 8955;729800;;729800;0
15250723 7 11950;1000000;;1000000;0
15250723 7 12857;1000000;;1000000;0
15250723 7 15466;1000000;;1000000;0
15250723 7 19146;1000000;;1000000;0
15250723 7 8933;1000000;;1000000;0
15255438 13 29154;280000;;280000;0
15255438 2 10965;800000;;800000;0
15255438 2 13689;800000;;800000;0
15255438 2 16358;800000;;800000;0
15255438 2 19176;1400000;;1400000;0
15255438 2 21842;1400000;;1400000;0
15255438 2 24523;1400000;;1400000;0
15255438 2 28410;1000000;;1000000;0
15255438 2 32389;1000000;;1000000;0
15255438 2 4782;900000;;900000;0
15255438 2 8021;1000000;;1000000;0
15255438 5 35724;2028800;;2028800;0
15255438 6 102863;391800;;391800;0
15255438 6 11020;646200;;646200;0
15255438 6 13690;646200;;646200;0
15255438 6 16359;646200;;646200;0
15255438 6 26;227000;;227000;0
15255438 6 28411;1028800;;1028800;0
15255438 6 32390;1028800;;1028800;0
15255438 6 5135;496900;;496900;0
15257553 2 12058;1000000;;1000000;0
15257553 2 1209;1000000;;1000000;0
15257553 2 17266;995000;;995000;0
15257553 2 18207;995000;;995000;0
15257553 2 20937;995000;;995000;0
15257553 2 229;900000;;900000;0
15257553 2 2582;1000000;;1000000;0
15257553 2 2584;1000000;;1000000;0
15257553 2 2849;400000;;400000;0
15257553 2 3261;750000;;750000;0
15257553 2 331;1000000;;1000000;0
15257553 2 5877;300000;;300000;0
15257553 2 8932;1000000;;1000000;0
15257553 6 102322;299100;;299100;0
15257553 6 102626;415200;;415200;0
15257553 6 11446;812800;;812800;0
15257553 6 14059;1024531;;1024531;0
15257553 6 17086;1024531;;1024531;0
15257553 6 18350;1017000;;1017000;0
15257553 6 20938;1017000;;1017000;0
15257553 6 360;197950;;197950;0
15257553 6 391;185350;;185350;0
15257553 6 5804;457400;;457400;0
15257553 6 8821;702400;;702400;0
15259601 2 12598;6324000;;6324000;0
15259601 2 15050;6324000;;6324000;0
15259601 2 16293;7000000;;7000000;0
15259601 2 1708;3700000;;3700000;0
15259601 2 19262;7000000;;7000000;0
15259601 2 22053;7000000;;7000000;0
15259601 2 2411;7000000;;7000000;0
15259601 2 24965;7000000;;7000000;0
15259601 2 28278;7000000;;7000000;0
15259601 2 3097;7000000;;7000000;0
15259601 2 32416;7000000;;7000000;0
15259601 2 3937;7000000;;7000000;0
15259601 2 6722;7000000;;7000000;0
15259601 2 875;3000000;;3000000;0
15259601 2 9664;6324000;;6324000;0
15259601 5 35854;20216770;;20216770;0
15259601 6 100368;1684000;;1684000;0
15259601 6 101212;2168000;;2168000;0
15259601 6 101865;3452000;;3452000;0
15259601 6 102488;2453000;;2453000;0
15259601 6 103156;2547200;;2547200;0
15259601 6 16311;6894800;;6894800;0
15259601 6 19263;6894800;;6894800;0
15259601 6 22052;6894800;;6894800;0
15259601 6 24966;6894800;;6894800;0
15259601 6 28280;6894800;;6894800;0
15259601 6 32417;6894800;;6894800;0
15259601 6 6995;2455000;;2455000;0
15319812 2 20000580;10800000;;10800000;0
15319812 2 20000915;11000000;;11000000;0
15319812 2 20001172;12000000;;12000000;0
15319812 2 20001582;6700000;;6700000;0
15319812 2 20001784;15000000;;15000000;0
15319812 2 20001893;18300000;;18300000;0
15322676 13 37573;1258544;;1258544;0
15322676 2 27700;1650000;;1650000;0
15322676 2 31266;1000000;;1000000;0
