"","id.join","vr.pagos","NA","CREDITO"
"55","10087188 2 383",2,1500000,"NULL"
"56","10087188 2 418",2,1500000,"NULL"
"57","10087188 6 378",6,1104000,"NULL"
"58","10087188 6 54",6,1104000,"NULL"
"59","101005 2 404",4,1e+06,"NULL"
"60","101005 2 792",2,1e+06,"NULL"
"61","101005 6 405",6,1328000,"NULL"
"62","101005 6 761",6,1134500,"NULL"
"63","101089 2 215",2,6e+05,"NULL"
"64","101089 2 216",2,4e+05,"NULL"
"65","101089 2 24",2,7e+05,"NULL"
"66","101089 2 254",2,3e+05,"NULL"
"67","101089 2 30000984",6,1800000,"NULL"
"68","101089 2 427",4,7e+05,"NULL"
"69","101089 2 461",2,1800000,"NULL"
"70","101089 2 466",6,1600000,"NULL"
"71","101089 2 471",2,5e+05,"NULL"
"72","101089 2 532",2,635000,"NULL"
"73","101089 2 679",2,4e+05,"NULL"
"74","101089 2 802",2,1e+05,"NULL"
"75","101089 2 906",2,1e+05,"NULL"
"76","101089 2 972",2,2300000,"NULL"
"77","101089 6 1",6,282100,"NULL"
"78","101089 6 2",6,59300,"NULL"
"79","101089 6 245",12,1014000,"NULL"
"80","101089 6 30000985",6,982000,"NULL"
"81","101089 6 37",6,658000,"NULL"
"82","101089 6 374",12,983500,"NULL"
"83","101089 6 531",6,562000,"NULL"
"84","101089 6 65",12,405000,"NULL"
"85","10123570 2 10753",4,1700000,"NULL"
"86","10123570 2 14514",2,2e+06,"NULL"
"87","10123570 2 17000",2,2e+06,"NULL"
"88","10123570 2 19173",2,3e+06,"NULL"
"89","10123570 2 21440",2,3400000,"NULL"
"90","10123570 2 27342",4,3300000,"NULL"
"91","10123570 2 2825",2,1e+06,"NULL"
"92","10123570 2 31080",4,2050000,"NULL"
"93","10123570 2 3440",2,1e+06,"NULL"
"94","10123570 2 36742",2,4200000,"NULL"
"95","10123570 2 39917",2,5e+06,"NULL"
"96","10123570 2 4706",2,650000,"NULL"
"97","10123570 7 141",7,5e+05,"NULL"
"98","1013556470 2 20001844",2,5e+05,"NULL"
"99","1013556470 2 20002078",2,650000,"NULL"
"100","1013556470 2 26840",2,980000,"NULL"
"101","1013556470 2 33124",2,980000,"NULL"
"102","1013556470 5 36729",15,1594100,"NULL"
"103","1013556470 6 20001846",12,324100,"NULL"
"104","1013556470 6 20002079",6,422900,"NULL"
"105","1013556470 6 26841",6,614100,"NULL"
"106","1013556470 6 33125",6,614100,"NULL"
"107","1017180106 2 38346",2,2e+06,"NULL"
"108","10190590 2 119",2,3e+06,"NULL"
"109","10190590 2 959",4,4e+06,"NULL"
"110","10191706 13 28564",13,1421570,"NULL"
"111","10191706 2 20000163",2,3e+05,"NULL"
"112","10191706 2 20000556",2,440000,"NULL"
"113","10191706 2 20000628",6,440000,"NULL"
"114","10191706 2 20001081",2,292000,"NULL"
"115","10191706 2 20001398",2,7e+05,"NULL"
"116","10191706 2 20001550",2,1e+06,"NULL"
"117","10191706 2 20001699",2,1e+06,"NULL"
"118","10191706 2 20001867",2,1e+06,"NULL"
"119","10191706 2 20002099",2,4800000,"NULL"
"120","10191706 2 27823",4,4800000,"NULL"
"121","10191706 2 31611",2,4320000,"NULL"
"122","10191706 5 311",15,6e+05,"NULL"
"123","10191706 5 35026",15,402090,"NULL"
"124","10191706 6 20000123",6,206100,"NULL"
"125","10191706 6 20000629",6,206100,"NULL"
"126","10191706 6 20001139",6,593200,"NULL"
"127","10191706 6 20001378",12,944000,"NULL"
"128","10191706 6 20001552",6,944000,"NULL"
"129","10191706 6 20001718",6,1400000,"NULL"
"130","10191706 6 20001880",6,1241800,"NULL"
"131","10191706 6 24989",6,1340300,"NULL"
"132","10191706 6 27454",18,1474330,"NULL"
"133","10191706 6 31127",6,1206270,"NULL"
"134","10195996 2 10976",2,1e+05,"NULL"
"135","10195996 2 13572",2,6e+05,"NULL"
"136","10195996 2 14941",2,1e+06,"NULL"
"137","10195996 2 17437",2,1e+06,"NULL"
"138","10195996 2 20139",4,1e+06,"NULL"
"139","10195996 2 24452",8,1300000,"NULL"
"140","10195996 2 27186",4,2200000,"NULL"
"141","10195996 2 30848",2,2200000,"NULL"
"142","10195996 2 34537",6,1073400,"NULL"
"143","10195996 2 3627",4,125000,"NULL"
"144","10195996 2 8001",4,2e+05,"NULL"
"145","10195996 2 8776",2,50000,"NULL"
"146","10195996 6 102734",18,72001,"NULL"
"147","10195996 6 102953",6,34900,"NULL"
"148","10195996 6 103131",6,34900,"NULL"
"149","10195996 6 14930",6,311404,"NULL"
"150","10195996 6 17348",6,525200,"NULL"
"151","10195996 6 18729",6,499200,"NULL"
"152","10195996 6 20138",12,525200,"NULL"
"153","10195996 6 27190",12,274800,"NULL"
"154","10195996 6 2812",6,34900,"NULL"
"155","10195996 6 30849",6,274800,"NULL"
"156","10195996 6 34536",18,183200,"NULL"
"157","10195996 6 9640",12,202560,"NULL"
"158","10195996 7 5197",14,3e+05,"NULL"
"159","10200799 2 20000462",2,2e+06,"NULL"
"160","10200799 2 20000910",2,5e+05,"NULL"
"161","10200799 2 20001052",2,2500000,"NULL"
"162","10200799 2 20001258",2,2500000,"NULL"
"163","10200799 2 20001446",4,2500000,"NULL"
"164","10201438 2 681",2,7e+05,"NULL"
"165","10201438 6 10022",6,234000,"NULL"
"166","1027880130 2 26855",2,6e+05,"NULL"
"167","1027880130 2 30881",4,1200000,"NULL"
"168","1027880130 6 26875",6,377400,"NULL"
"169","1027880130 6 30882",6,377400,"NULL"
"170","1027880309 13 37448",26,390000,"NULL"
"171","1027880309 13 37542",234,21239988,"NULL"
"172","1027880309 13 38047",13,6500000,"NULL"
"173","1027880309 13 38071",13,7800000,"NULL"
"174","1027880309 2 35857",2,2.4e+07,"NULL"
"175","1027880309 2 40476",2,25200000,"NULL"
"176","1027880616 2 40593",2,0,"NULL"
"177","1027880740 2 11168",2,370000,"NULL"
"178","1027880740 2 22011",2,2300000,"NULL"
"179","1027880740 2 24813",2,2300000,"NULL"
"180","1027880740 2 28281",4,2300000,"NULL"
"181","1027880740 6 11169",6,256800,"NULL"
"182","1027880740 6 14016",6,816000,"NULL"
"183","1027880740 6 15963",6,964500,"NULL"
"184","1027880740 6 18335",12,1143800,"NULL"
"185","1027880740 6 22252",6,631400,"NULL"
"186","1027880870 13 35198",117,460058,"NULL"
"187","1027881059 2 20877",2,1e+06,"NULL"
"188","1027881059 2 23427",2,2e+06,"NULL"
"189","1027881059 2 26164",2,2300000,"NULL"
"190","1027881059 2 29957",4,2800000,"NULL"
"191","1027881059 2 33438",2,3100000,"NULL"
"192","1027881059 2 37506",8,6e+06,"NULL"
"193","1027881059 6 24346",6,488500,"NULL"
"194","1027881059 6 28018",6,1688400,"NULL"
"195","1027881059 6 31660",6,1688400,"NULL"
"196","1027881059 6 34191",12,2173000,"NULL"
"197","1027881254 2 31671",2,2700000,"NULL"
"198","1027881254 6 32353",6,1752000,"NULL"
"199","1027881416 2 30176",4,770000,"NULL"
"200","1027881416 2 33963",8,1500000,"NULL"
"201","1027881416 2 35971",10,8e+05,"NULL"
"202","1027881416 2 36892",10,2800000,"NULL"
"203","1027881416 2 38095",2,1800000,"NULL"
"204","1027881416 2 38778",2,1213242,"NULL"
"205","1027881416 2 40092",2,1413971,"NULL"
"206","1027881416 6 30182",12,546400,"NULL"
"207","1027881916 13 32339",13,650000,"NULL"
"208","1027881916 13 34993",52,1366200,"NULL"
"209","1027881916 13 35896",39,1194900,"NULL"
"210","1027881916 13 40069",78,8371000,"NULL"
"211","1027881916 2 18496",2,1500000,"NULL"
"212","1027881916 2 21424",2,2600000,"NULL"
"213","1027881916 2 27985",2,2e+06,"NULL"
"214","1027881916 2 31524",2,2e+06,"NULL"
"215","1027881916 2 37897",2,5e+06,"NULL"
"216","1027881916 2 39143",2,1e+07,"NULL"
"217","1027881916 5 35279",10,2e+06,"NULL"
"218","1027881916 6 18517",6,2614100,"NULL"
"219","1027881916 6 21555",6,2992900,"NULL"
"220","1027882076 13 32688",52,1035286,"NULL"
"221","1027882076 13 35166",117,1819254,"NULL"
"222","1027882616 13 40287",13,1386000,"NULL"
"223","1027883439 13 35369",39,1314000,"NULL"
"224","1027883439 2 37564",2,5e+05,"NULL"
"225","1027883439 2 39032",2,0,"NULL"
"226","1027883439 6 33053",6,590848,"NULL"
"227","1027883494 2 11038",2,4e+05,"NULL"
"228","1027883494 2 13594",4,4e+05,"NULL"
"229","1027883494 6 11042",6,273900,"NULL"
"230","1027883494 6 13595",12,273900,"NULL"
"231","1027884254 2 40831",2,7e+06,"NULL"
"232","1027885197 2 40639",6,7e+06,"NULL"
"233","1027885253 13 35706",208,14049000,"NULL"
"234","1027885253 2 14944",2,8400000,"NULL"
"235","1027885253 2 17564",2,8400000,"NULL"
"236","1027885253 2 20325",2,8400000,"NULL"
"237","1027885253 2 23121",2,8400000,"NULL"
"238","1027885253 2 2440",2,3e+06,"NULL"
"239","1027885253 2 3144",2,3e+06,"NULL"
"240","1027885253 2 33896",4,8600000,"NULL"
"241","1027885253 2 36899",6,1.8e+07,"NULL"
"242","1027885253 2 38910",2,3e+07,"NULL"
"243","1027885253 2 5083",2,2400000,"NULL"
"244","1027885253 7 113",7,2e+06,"NULL"
"245","1027885735 13 36281",13,527300,"NULL"
"246","1027885735 13 38230",143,841612,"NULL"
"247","1027885735 13 38717",143,1822500,"NULL"
"248","1027885735 13 39436",130,2104700,"NULL"
"249","1027885735 13 40596",104,1848500,"NULL"
"250","1027885735 2 37668",4,1500000,"NULL"
"251","1027885735 2 39791",4,0,"NULL"
"252","1027886275 6 39332",6,1570800,"NULL"
"253","1027887020 6 32903",6,7601246,"NULL"
"254","1027888399 13 32333",13,390000,"NULL"
"255","1027888399 2 27946",2,2e+06,"NULL"
"256","1027888399 2 31526",2,2e+06,"NULL"
"257","1027888399 5 35280",10,2e+06,"NULL"
"258","1033648302 2 40131",4,2800000,"NULL"
"259","1033649665 13 24561",13,1677500,"NULL"
"260","1033649665 2 30003145",2,3e+06,"NULL"
"261","1033649665 6 30003043",12,1961700,"NULL"
"262","1033649665 6 30003451",6,1961700,"NULL"
"263","1033651746 13 30631",13,206000,"NULL"
"264","1033651746 13 32750",26,239825,"NULL"
"265","1033651746 2 30629",8,6e+05,"NULL"
"266","1033651746 2 33618",2,650000,"NULL"
"267","1033651746 2 37092",4,6e+05,"NULL"
"268","1033651746 6 30630",6,344800,"NULL"
"269","1033651746 6 34468",12,453829,"NULL"
"270","1033651746 6 38649",18,480196,"NULL"
"271","1033652125 2 32379",2,750000,"NULL"
"272","1033652125 6 32378",6,508966,"NULL"
"273","1033653665 2 31166",2,3e+06,"NULL"
"274","1033653665 2 35176",2,4200000,"NULL"
"275","1033653665 2 37771",2,5800000,"NULL"
"276","1033653665 6 31168",6,2661800,"NULL"
"277","1036617255 2 20000364",8,5800000,"NULL"
"278","1036617255 6 20000007",6,1222500,"NULL"
"279","1036663125 2 40317",4,5e+05,"NULL"
"280","1037322193 2 16184",2,830000,"NULL"
"281","1037322193 2 19650",2,830000,"NULL"
"282","1037322193 2 22745",6,830000,"NULL"
"283","1037322193 2 23804",4,222000,"NULL"
"284","1037322193 6 16186",6,514400,"NULL"
"285","1037322193 6 19652",6,514400,"NULL"
"286","1037322193 6 22746",6,514400,"NULL"
"287","1037322193 6 23805",12,1028800,"NULL"
"288","1037322444 13 29236",13,775986,"NULL"
"289","1037322444 13 31284",13,683000,"NULL"
"290","1037602711 13 29390",26,3676400,"NULL"
"291","1037602711 13 30517",39,2663700,"NULL"
"292","1037602711 2 14942",2,10100000,"NULL"
"293","1037602711 2 17565",2,10100000,"NULL"
"294","1037602711 2 19748",2,8e+06,"NULL"
"295","1037602711 2 22547",2,10900000,"NULL"
"296","1037602711 2 2438",2,3e+06,"NULL"
"297","1037602711 2 3143",2,3e+06,"NULL"
"298","1037602711 2 33829",4,1.6e+07,"NULL"
"299","1037602711 2 36901",6,2.2e+07,"NULL"
"300","1037602711 2 38911",2,4e+07,"NULL"
"301","1037602711 2 5084",2,2700000,"NULL"
"302","1037602711 6 19849",6,5332500,"NULL"
"303","1037602711 6 22530",6,5332500,"NULL"
"304","1037602711 7 114",7,2e+06,"NULL"
"305","1037650019 2 33951",12,2490000,"NULL"
"306","1037652325 2 17844",2,2e+06,"NULL"
"307","1037652325 2 20780",2,4800000,"NULL"
"308","1037652325 2 23653",2,5e+06,"NULL"
"309","1037652325 2 30709",2,3e+06,"NULL"
"310","1037652325 2 34503",4,1e+06,"NULL"
"311","1037652325 6 102897",6,1271400,"NULL"
"312","1037652325 6 12091",6,1014400,"NULL"
"313","1037652325 6 14813",6,1014400,"NULL"
"314","1037652325 6 6507",12,1271400,"NULL"
"315","1037652325 6 9301",6,1014400,"NULL"
"316","1041149040 2 37254",4,3e+06,"NULL"
"317","1041149040 2 38431",8,1e+07,"NULL"
"318","1041149040 6 36329",6,2542657,"NULL"
"319","10478493 2 10437",2,1300000,"NULL"
"320","10478493 2 9322",2,1300000,"NULL"
"321","11373107 2 37932",4,1e+06,"NULL"
"322","11700016 2 6130",2,9e+05,"NULL"
"323","11700041 2 30000307",4,1200000,"NULL"
"324","11700041 2 30001267",2,876000,"NULL"
"325","11700041 2 6156",2,1200000,"NULL"
"326","11700041 6 30000306",12,525200,"NULL"
"327","11700041 6 6190",6,525200,"NULL"
"328","11785441 2 232",8,2300000,"NULL"
"329","11785441 2 30000645",10,2319415,"NULL"
"330","1230228 2 1958",2,5e+06,"NULL"
"331","1230228 2 2617",2,6e+06,"NULL"
"332","1230228 2 303",2,4e+06,"NULL"
"333","1230228 2 786",2,4e+06,"NULL"
"334","1230228 6 101267",6,1836000,"NULL"
"335","1230228 6 101984",6,3080000,"NULL"
"336","1255540 2 1889",2,6e+05,"NULL"
"337","1255540 2 2192",2,7e+05,"NULL"
"338","1255540 2 3332",4,7e+05,"NULL"
"339","1255540 2 653",2,509000,"NULL"
"340","1255540 2 6639",4,670000,"NULL"
"341","1255540 2 671",4,509000,"NULL"
"342","1256089 2 10078",2,1060000,"NULL"
"343","1256089 2 1016",2,6e+05,"NULL"
"344","1256089 2 14192",2,1500000,"NULL"
"345","1256089 2 16926",2,1500000,"NULL"
"346","1256089 2 17895",2,1500000,"NULL"
"347","1256089 2 2031",2,1e+06,"NULL"
"348","1256089 2 20685",2,1500000,"NULL"
"349","1256089 2 284",2,5e+05,"NULL"
"350","1256089 2 2907",2,1e+06,"NULL"
"351","1256089 2 34207",2,4e+06,"NULL"
"352","1256089 2 38185",4,2e+06,"NULL"
"353","1256089 2 39858",2,3e+06,"NULL"
"354","1256089 2 5278",2,1060000,"NULL"
"355","1256089 2 7168",2,1060000,"NULL"
"356","1256089 6 100576",6,594050,"NULL"
"357","1256089 6 10077",6,357000,"NULL"
"358","1256089 6 101470",12,460200,"NULL"
"359","1256089 6 12431",6,1641600,"NULL"
"360","1256089 6 15526",6,2121900,"NULL"
"361","1256089 6 17894",6,2121900,"NULL"
"362","1256089 6 20686",6,2121900,"NULL"
"363","1256089 6 23252",6,1179400,"NULL"
"364","1256089 6 2400",6,424000,"NULL"
"365","1256089 6 27109",6,1179400,"NULL"
"366","1256089 6 30066",12,1915000,"NULL"
"367","1256089 6 3060",6,490000,"NULL"
"368","1256089 6 431",6,490000,"NULL"
"369","1256089 6 5279",6,5e+05,"NULL"
"370","1256089 6 7167",12,5e+05,"NULL"
"371","1256458 13 28616",39,11225800,"NULL"
"372","1256458 13 34633",104,4869000,"NULL"
"373","1256458 13 35874",65,7227000,"NULL"
"374","1256458 13 37653",104,7525800,"NULL"
"375","1256458 13 38341",78,7570000,"NULL"
"376","1256458 13 39660",91,7817700,"NULL"
"377","1256458 2 12010",2,1e+07,"NULL"
"378","1256458 2 13976",2,1e+07,"NULL"
"379","1256458 2 15671",2,1.2e+07,"NULL"
"380","1256458 2 18133",2,1.3e+07,"NULL"
"381","1256458 2 25474",2,2.4e+07,"NULL"
"382","1256458 2 2880",2,6e+06,"NULL"
"383","1256458 2 3441",2,6500000,"NULL"
"384","1256458 2 38958",4,3e+07,"NULL"
"385","1256458 2 6102",2,5e+06,"NULL"
"386","1256458 2 9195",2,6e+06,"NULL"
"387","1256458 6 12927",6,2736000,"NULL"
"388","1256458 6 15672",6,5428000,"NULL"
"389","1256458 6 18138",6,6721200,"NULL"
"390","1256458 6 21171",6,6017100,"NULL"
"391","1256458 6 6002",6,1420500,"NULL"
"392","1256495 2 19821",2,780000,"NULL"
"393","1256495 2 20205",2,4e+05,"NULL"
"394","1256495 2 25585",2,2400000,"NULL"
"395","1256495 2 30418",4,4e+06,"NULL"
"396","1256495 6 19822",6,276000,"NULL"
"397","1256495 6 20219",6,471200,"NULL"
"398","1256495 6 24446",6,791700,"NULL"
"399","1256495 6 30285",12,1252000,"NULL"
"400","1258543 2 46",2,8e+05,"NULL"
"401","1258543 2 50033",2,2200000,"NULL"
"402","1258543 2 50077",2,1182000,"NULL"
"403","1258543 2 50128",2,2200000,"NULL"
"404","1258543 2 50145",2,1182000,"NULL"
"405","1258543 2 50186",6,2200000,"NULL"
"406","1258543 2 50224",4,1182000,"NULL"
"407","1258543 2 50271",2,5e+06,"NULL"
"408","1258543 2 50339",8,8000600,"NULL"
"409","1258543 2 6037",4,1500000,"NULL"
"410","1258543 2 6038",2,2e+06,"NULL"
"411","1258543 2 8362",4,1237000,"NULL"
"412","1258543 2 8395",4,2e+06,"NULL"
"413","1260689 2 30000792",2,4400000,"NULL"
"414","1260689 2 30001372",2,2500000,"NULL"
"415","1260689 2 30001945",2,3e+06,"NULL"
"416","1260689 2 492",2,1500000,"NULL"
"417","1260689 2 661",2,7e+05,"NULL"
"418","1260689 6 231",6,924000,"NULL"
"419","1260689 6 30000678",12,2901600,"NULL"
"420","1260689 6 30001469",6,3842000,"NULL"
"421","1260689 6 30001946",6,4574800,"NULL"
"422","1260689 6 326",6,2250400,"NULL"
"423","1260689 6 442",12,222400,"NULL"
"424","1260689 6 443",6,222400,"NULL"
"425","1260689 6 53",6,2516800,"NULL"
"426","1260689 6 533",6,2125200,"NULL"
"427","1260785 13 20001963",52,665000,"NULL"
"428","1260785 2 20000360",2,8e+05,"NULL"
"429","1260785 2 20000361",2,270000,"NULL"
"430","1260785 2 20000534",2,1290000,"NULL"
"431","1260785 2 20000535",2,420000,"NULL"
"432","1260785 2 20001611",2,1290000,"NULL"
"433","1260785 2 20001814",2,1290000,"NULL"
"434","1260785 2 25900",4,1290000,"NULL"
"435","1260785 6 20000446",6,569500,"NULL"
"436","1260785 6 20000533",12,910000,"NULL"
"437","1260785 6 20001612",6,851000,"NULL"
"438","1260785 6 20001815",6,851000,"NULL"
"439","1260785 6 25966",12,851000,"NULL"
"440","1263899 1 327",1,1e+06,"NULL"
"441","1263899 6 0",6,475300,"NULL"
"442","1263899 6 5",6,504500,"NULL"
"443","1264202 1 157",2,1e+06,"NULL"
"444","1264202 1 266",1,5e+05,"NULL"
"445","1264202 1 506",2,9e+05,"NULL"
"446","1264202 2 169",2,350000,"NULL"
"447","1264202 2 242",2,4e+05,"NULL"
"448","1264202 2 267",2,2e+05,"NULL"
"449","1264202 2 30000146",2,430000,"NULL"
"450","1264202 2 479",4,450000,"NULL"
"451","1264202 2 670",2,3e+05,"NULL"
"452","1264202 2 799",2,4e+05,"NULL"
"453","1264202 6 160",6,160600,"NULL"
"454","1264202 6 197",6,339000,"NULL"
"455","1264202 6 441",6,269600,"NULL"
"456","1289645 2 12781",4,1600000,"NULL"
"457","1289645 2 15587",4,1700000,"NULL"
"458","1289645 2 17732",4,1660000,"NULL"
"459","1289645 2 20516",4,2500000,"NULL"
"460","1289645 2 2572",2,1e+06,"NULL"
"461","1289645 2 3291",2,1e+06,"NULL"
"462","1289645 2 4220",2,1500000,"NULL"
"463","1289645 2 7183",8,1500000,"NULL"
"464","1289645 2 9723",4,1600000,"NULL"
"465","1289645 6 1347",6,843000,"NULL"
"466","1289645 6 17837",12,979000,"NULL"
"467","1289645 6 1997",6,595000,"NULL"
"468","1289645 6 2106",6,389000,"NULL"
"469","1289645 6 746",6,529200,"NULL"
"470","1292157 2 10205",2,549000,"NULL"
"471","1292157 2 12875",4,549000,"NULL"
"472","1292157 2 2486",2,3e+05,"NULL"
"473","1292157 2 3091",2,550000,"NULL"
"474","1292157 2 3954",2,4e+05,"NULL"
"475","1292157 2 7111",4,6e+05,"NULL"
"476","1292157 3 13501",3,2e+05,"NULL"
"477","1292157 3 538",3,1e+05,"NULL"
"478","1292157 3 5564",3,1e+05,"NULL"
"479","1292157 3 568",3,1e+05,"NULL"
"480","1292157 3 6172",6,1e+05,"NULL"
"481","1292157 3 629",3,130000,"NULL"
"482","1292157 3 7158",3,1e+05,"NULL"
"483","1292157 3 8440",3,1e+05,"NULL"
"484","1292157 3 9386",3,150000,"NULL"
"485","1292157 6 10206",6,351200,"NULL"
"486","1292157 6 12874",12,351200,"NULL"
"487","1292157 6 1981",6,215600,"NULL"
"488","1292157 6 2340",12,215600,"NULL"
"489","1292157 6 2381",6,324200,"NULL"
"490","1292157 6 4494",6,310400,"NULL"
"491","1292157 6 7150",6,351200,"NULL"
"492","1313951 2 531",2,1e+06,"NULL"
"493","1313951 2 828",2,1e+06,"NULL"
"494","1313951 2 968",2,1e+06,"NULL"
"495","1313951 6 530",12,514500,"NULL"
"496","1313951 6 732",6,514500,"NULL"
"497","1313951 6 967",6,449500,"NULL"
"498","13235734 13 28454",65,7221240,"NULL"
"499","13235734 13 37764",52,12760512,"NULL"
"500","13235734 2 3597",2,950000,"NULL"
"501","13235734 2 7734",4,1900000,"NULL"
"502","13235734 6 102916",6,605200,"NULL"
"503","13235734 6 12055",6,1299000,"NULL"
"504","13235734 6 14613",6,3288000,"NULL"
"505","13346099 2 15252",2,5e+06,"NULL"
"506","13346099 2 19",2,7e+05,"NULL"
"507","13346099 3 769",3,310000,"NULL"
"508","13346099 6 1350",6,487100,"NULL"
"509","13346099 6 15167",6,3178400,"NULL"
"510","13346099 6 18769",6,1581000,"NULL"
"511","13346099 6 20601",6,4543000,"NULL"
"512","13346099 6 2675",18,1164000,"NULL"
"513","13346099 6 7132",12,1097500,"NULL"
"514","13346099 7 18153",7,6100000,"NULL"
"515","13514110 2 20000912",2,1800000,"NULL"
"516","13514110 2 20001169",2,3300000,"NULL"
"517","13514110 2 20001585",2,1600000,"NULL"
"518","13514110 2 20001787",2,5e+06,"NULL"
"519","13514110 2 20001896",2,2e+06,"NULL"
"520","13514110 2 37990",2,5e+06,"NULL"
"521","1352167 2 1387",2,4e+05,"NULL"
"522","1352167 2 2265",2,4e+05,"NULL"
"523","1352167 2 3713",2,2e+05,"NULL"
"524","1352167 2 6239",2,3e+05,"NULL"
"525","1352167 2 673",2,2e+05,"NULL"
"526","1352167 6 100431",6,226000,"NULL"
"527","1352167 6 12776",6,216500,"NULL"
"528","1352167 6 14225",6,289800,"NULL"
"529","1352167 6 15277",6,385800,"NULL"
"530","1352167 6 17526",12,405000,"NULL"
"531","1352167 6 20237",6,313000,"NULL"
"532","1352167 6 3038",6,137200,"NULL"
"533","1352167 6 4283",6,252000,"NULL"
"534","1373097 2 2456",2,1300000,"NULL"
"535","1373097 2 27768",4,1300000,"NULL"
"536","1373097 2 2812",2,1300000,"NULL"
"537","1373097 2 35770",2,1e+06,"NULL"
"538","1373097 2 38025",2,2e+06,"NULL"
"539","1373097 2 40167",2,0,"NULL"
"540","1373097 6 32165",6,1358000,"NULL"
"541","1385023 2 1021",8,2047000,"NULL"
"542","1385023 2 250",2,2260000,"NULL"
"543","1385023 2 545",6,2260000,"NULL"
"544","1410383 2 1014",4,2500000,"NULL"
"545","1410383 2 1067",2,1500000,"NULL"
"546","1410383 2 1096",2,5e+05,"NULL"
"547","1410383 2 11160",2,4147000,"NULL"
"548","1410383 2 13715",4,4147000,"NULL"
"549","1410383 2 1576",6,2467000,"NULL"
"550","1410383 2 16425",2,4e+06,"NULL"
"551","1410383 2 17193",6,1500000,"NULL"
"552","1410383 2 19179",2,4e+06,"NULL"
"553","1410383 2 19947",2,1500000,"NULL"
"554","1410383 2 21500",2,8300000,"NULL"
"555","1410383 2 23696",2,8300000,"NULL"
"556","1410383 2 26875",4,8300000,"NULL"
"557","1410383 2 2699",2,4500000,"NULL"
"558","1410383 2 307",6,1500000,"NULL"
"559","1410383 2 3070",4,4500000,"NULL"
"560","1410383 2 31412",2,7470000,"NULL"
"561","1410383 2 5709",6,4500000,"NULL"
"562","1410383 2 8606",2,4147000,"NULL"
"563","1410383 5 35357",15,218631,"NULL"
"564","1410383 6 10963",6,1156250,"NULL"
"565","1410383 6 1150",6,362850,"NULL"
"566","1410383 6 1497",6,937200,"NULL"
"567","1410383 6 1708",12,937200,"NULL"
"568","1410383 6 21610",6,954128,"NULL"
"569","1410383 6 2248",6,741000,"NULL"
"570","1410383 6 2286",6,147600,"NULL"
"571","1410383 6 2572",18,741000,"NULL"
"572","1410383 6 2573",6,147600,"NULL"
"573","1410383 6 310",6,637300,"NULL"
"574","1410383 6 5214",18,1523800,"NULL"
"575","1410383 6 754",6,816050,"NULL"
"576","1410383 6 9205",6,778900,"NULL"
